"pos.1" "pos.2" "b.mod" "sep.dist" "pic_name"
7 3 5.47722557505166 0.000285017200775844 "plot_large_p_small_n_30_10_0_1_1.png"
7 4 9.05538513813742 0.000378586653888424 "plot_large_p_small_n_30_10_0_1_1.png"
7 5 7.21110255092798 0.00036792667850765 "plot_large_p_small_n_30_10_0_1_1.png"
7 6 6.6332495807108 0.000375219556911882 "plot_large_p_small_n_30_10_0_1_1.png"
7 7 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
7 8 8.71779788708135 0.000380057364379972 "plot_large_p_small_n_30_10_0_1_1.png"
7 9 8 0.000366216690805245 "plot_large_p_small_n_30_10_0_1_1.png"
7 10 15.9373774505092 0.772085192598713 "plot_large_p_small_n_30_10_0_1_1.png"
7 11 6 0.000369838193097258 "plot_large_p_small_n_30_10_0_1_1.png"
7 12 5.8309518948453 0.000380189173366485 "plot_large_p_small_n_30_10_0_1_1.png"
7 13 6.6332495807108 0.000344012730619141 "plot_large_p_small_n_30_10_0_1_1.png"
7 14 4.47213595499958 0.000355800512796488 "plot_large_p_small_n_30_10_0_1_1.png"
7 15 5.09901951359278 0.000310233480482412 "plot_large_p_small_n_30_10_0_1_1.png"
7 16 8.94427190999916 0.000356376168591497 "plot_large_p_small_n_30_10_0_1_1.png"
7 17 11.0453610171873 0.000379832201433943 "plot_large_p_small_n_30_10_0_1_1.png"
7 18 4.89897948556636 0.000232189444128272 "plot_large_p_small_n_30_10_0_1_1.png"
7 19 7.07106781186548 0.000378302402986235 "plot_large_p_small_n_30_10_0_1_1.png"
7 20 9.05538513813742 0.000374459259350961 "plot_large_p_small_n_30_10_0_1_1.png"
8 1 6.78232998312527 2.43655434100848e-05 "plot_large_p_small_n_30_10_0_1_1.png"
8 2 6.16441400296898 6.28192874813548e-08 "plot_large_p_small_n_30_10_0_1_1.png"
8 3 6 9.50401636041289e-05 "plot_large_p_small_n_30_10_0_1_1.png"
8 4 7.34846922834953 1.47071049154879e-06 "plot_large_p_small_n_30_10_0_1_1.png"
8 5 7.61577310586391 1.21306858723224e-05 "plot_large_p_small_n_30_10_0_1_1.png"
8 6 6.78232998312527 4.83780746809058e-06 "plot_large_p_small_n_30_10_0_1_1.png"
8 7 8.71779788708135 0.000380057364379972 "plot_large_p_small_n_30_10_0_1_1.png"
8 8 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
8 9 7.48331477354788 1.38406735747273e-05 "plot_large_p_small_n_30_10_0_1_1.png"
8 10 10.4880884817015 0.772465249963093 "plot_large_p_small_n_30_10_0_1_1.png"
8 11 6.6332495807108 1.02191712827145e-05 "plot_large_p_small_n_30_10_0_1_1.png"
8 12 8.71779788708135 1.31808986512286e-07 "plot_large_p_small_n_30_10_0_1_1.png"
8 13 4.89897948556636 3.60446337608311e-05 "plot_large_p_small_n_30_10_0_1_1.png"
8 14 7.21110255092798 2.42568515834843e-05 "plot_large_p_small_n_30_10_0_1_1.png"
8 15 6.48074069840786 6.982388389756e-05 "plot_large_p_small_n_30_10_0_1_1.png"
8 16 6.48074069840786 2.36811957884755e-05 "plot_large_p_small_n_30_10_0_1_1.png"
8 17 6.92820323027551 2.25162946029497e-07 "plot_large_p_small_n_30_10_0_1_1.png"
8 18 6.16441400296898 0.0001478679202517 "plot_large_p_small_n_30_10_0_1_1.png"
8 19 5.65685424949238 1.75496139373719e-06 "plot_large_p_small_n_30_10_0_1_1.png"
8 20 6.32455532033676 5.5981050290114e-06 "plot_large_p_small_n_30_10_0_1_1.png"
9 1 6 1.05248698353575e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 2 7.34846922834953 1.37778542872459e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 3 5.09901951359278 8.11994900294016e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 4 4.24264068711928 1.23699630831785e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 5 4.69041575982343 1.70998770240483e-06 "plot_large_p_small_n_30_10_0_1_1.png"
9 6 7.87400787401181 9.00286610663669e-06 "plot_large_p_small_n_30_10_0_1_1.png"
9 7 8 0.000366216690805245 "plot_large_p_small_n_30_10_0_1_1.png"
9 8 7.48331477354788 1.38406735747273e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 9 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
9 10 14.2828568570857 0.772451409289518 "plot_large_p_small_n_30_10_0_1_1.png"
9 11 5.29150262212918 3.62150229201279e-06 "plot_large_p_small_n_30_10_0_1_1.png"
9 12 8.48528137423857 1.39724825612396e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 13 5.29150262212918 2.22039601861038e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 14 7.87400787401181 1.0416178008757e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 15 5.47722557505166 5.59832103228327e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 16 10.4880884817015 9.8405222137482e-06 "plot_large_p_small_n_30_10_0_1_1.png"
9 17 9.05538513813742 1.36155106286978e-05 "plot_large_p_small_n_30_10_0_1_1.png"
9 18 7.21110255092798 0.000134027246676973 "plot_large_p_small_n_30_10_0_1_1.png"
9 19 6.48074069840786 1.20857121809901e-05 "plot_large_p_small_n_30_10_0_1_1.png"
